"partijos_no";"partija_full";"apylinkes";"pastas";"balsai";"proc_rinkejai";"proc_rinkejai_lt";"apygarda";"apygardos_no";"partija"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"4423";"244";"4667";"24,30";"21,54";"Dainavos";16;"LVZS"
1;"Lietuvos socialdemokratų partija";"2385";"178";"2563";"13,34";"14,43";"Dainavos";16;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1479";"102";"1581";"8,23";"9,04";"Dainavos";16;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"1416";"58";"1474";"7,67";"6,06";"Dainavos";16;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"88";"3";"91";"0,47";"5,49";"Dainavos";16;"LLRA"
5;"Partija Tvarka ir teisingumas";"683";"50";"733";"3,82";"5,33";"Dainavos";16;"PTT"
8;"Darbo partija";"554";"51";"605";"3,15";"4,69";"Dainavos";16;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"163";"24";"187";"0,97";"2,14";"Dainavos";16;"LLS"
12;"Lietuvos žaliųjų partija";"497";"33";"530";"2,76";"1,94";"Dainavos";16;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"385";"21";"406";"2,11";"1,72";"Dainavos";16;"LS"
10;"Lietuvos liaudies partija";"200";"12";"212";"1,10";"1,01";"Dainavos";16;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"244";"13";"257";"1,34";"0,54";"Dainavos";16;"JL"
9;"„Drąsos kelias“ politinė partija";"89";"6";"95";"0,49";"0,28";"Dainavos";16;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"4423";"391";"4814";"26,58";"21,66";"Petrašiūnų";17;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"4331";"224";"4555";"25,15";"21,54";"Petrašiūnų";17;"LVZS"
1;"Lietuvos socialdemokratų partija";"2022";"150";"2172";"11,99";"14,43";"Petrašiūnų";17;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1294";"130";"1424";"7,86";"9,04";"Petrašiūnų";17;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"1272";"78";"1350";"7,46";"6,06";"Petrašiūnų";17;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"104";"2";"106";"0,59";"5,49";"Petrašiūnų";17;"LLRA"
5;"Partija Tvarka ir teisingumas";"680";"67";"747";"4,13";"5,33";"Petrašiūnų";17;"PTT"
8;"Darbo partija";"559";"52";"611";"3,37";"4,69";"Petrašiūnų";17;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"203";"24";"227";"1,25";"2,14";"Petrašiūnų";17;"LLS"
12;"Lietuvos žaliųjų partija";"472";"24";"496";"2,74";"1,94";"Petrašiūnų";17;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"334";"16";"350";"1,93";"1,72";"Petrašiūnų";17;"LS"
10;"Lietuvos liaudies partija";"287";"15";"302";"1,67";"1,01";"Petrašiūnų";17;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"146";"14";"160";"0,88";"0,54";"Petrašiūnų";17;"JL"
9;"„Drąsos kelias“ politinė partija";"97";"6";"103";"0,57";"0,28";"Petrašiūnų";17;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"5273";"478";"5751";"29,29";"21,66";"Panemunės";18;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"4229";"232";"4461";"22,72";"21,54";"Panemunės";18;"LVZS"
1;"Lietuvos socialdemokratų partija";"2341";"186";"2527";"12,87";"14,43";"Panemunės";18;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1510";"126";"1636";"8,33";"9,04";"Panemunės";18;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"1284";"66";"1350";"6,88";"6,06";"Panemunės";18;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"113";"9";"122";"0,62";"5,49";"Panemunės";18;"LLRA"
5;"Partija Tvarka ir teisingumas";"701";"81";"782";"3,98";"5,33";"Panemunės";18;"PTT"
8;"Darbo partija";"567";"50";"617";"3,14";"4,69";"Panemunės";18;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"223";"17";"240";"1,22";"2,14";"Panemunės";18;"LLS"
12;"Lietuvos žaliųjų partija";"511";"17";"528";"2,69";"1,94";"Panemunės";18;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"386";"23";"409";"2,08";"1,72";"Panemunės";18;"LS"
10;"Lietuvos liaudies partija";"267";"7";"274";"1,40";"1,01";"Panemunės";18;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"112";"11";"123";"0,63";"0,54";"Panemunės";18;"JL"
9;"„Drąsos kelias“ politinė partija";"141";"11";"152";"0,77";"0,28";"Panemunės";18;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"5120";"532";"5652";"28,22";"21,66";"Aleksoto-Vilijampolės";19;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"4855";"286";"5141";"25,67";"21,54";"Aleksoto-Vilijampolės";19;"LVZS"
1;"Lietuvos socialdemokratų partija";"2296";"174";"2470";"12,33";"14,43";"Aleksoto-Vilijampolės";19;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1490";"125";"1615";"8,06";"9,04";"Aleksoto-Vilijampolės";19;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"1171";"62";"1233";"6,16";"6,06";"Aleksoto-Vilijampolės";19;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"54";"2";"56";"0,28";"5,49";"Aleksoto-Vilijampolės";19;"LLRA"
5;"Partija Tvarka ir teisingumas";"601";"105";"706";"3,52";"5,33";"Aleksoto-Vilijampolės";19;"PTT"
8;"Darbo partija";"458";"49";"507";"2,53";"4,69";"Aleksoto-Vilijampolės";19;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"243";"28";"271";"1,35";"2,14";"Aleksoto-Vilijampolės";19;"LLS"
12;"Lietuvos žaliųjų partija";"452";"31";"483";"2,41";"1,94";"Aleksoto-Vilijampolės";19;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"471";"21";"492";"2,46";"1,72";"Aleksoto-Vilijampolės";19;"LS"
10;"Lietuvos liaudies partija";"270";"18";"288";"1,44";"1,01";"Aleksoto-Vilijampolės";19;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"118";"11";"129";"0,64";"0,54";"Aleksoto-Vilijampolės";19;"JL"
9;"„Drąsos kelias“ politinė partija";"150";"11";"161";"0,80";"0,28";"Aleksoto-Vilijampolės";19;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"2613";"302";"2915";"19,98";"21,66";"Baltijos";20;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"2307";"137";"2444";"16,75";"21,54";"Baltijos";20;"LVZS"
1;"Lietuvos socialdemokratų partija";"1245";"108";"1353";"9,28";"14,43";"Baltijos";20;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1531";"187";"1718";"11,78";"9,04";"Baltijos";20;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"1671";"75";"1746";"11,97";"6,06";"Baltijos";20;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"1277";"49";"1326";"9,09";"5,49";"Baltijos";20;"LLRA"
5;"Partija Tvarka ir teisingumas";"774";"52";"826";"5,66";"5,33";"Baltijos";20;"PTT"
8;"Darbo partija";"495";"37";"532";"3,65";"4,69";"Baltijos";20;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"153";"17";"170";"1,17";"2,14";"Baltijos";20;"LLS"
12;"Lietuvos žaliųjų partija";"197";"24";"221";"1,52";"1,94";"Baltijos";20;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"226";"7";"233";"1,60";"1,72";"Baltijos";20;"LS"
10;"Lietuvos liaudies partija";"157";"12";"169";"1,16";"1,01";"Baltijos";20;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"104";"6";"110";"0,75";"0,54";"Baltijos";20;"JL"
9;"„Drąsos kelias“ politinė partija";"32";"2";"34";"0,23";"0,28";"Baltijos";20;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"2211";"259";"2470";"17,32";"21,66";"Marių";21;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"2287";"124";"2411";"16,91";"21,54";"Marių";21;"LVZS"
1;"Lietuvos socialdemokratų partija";"1260";"79";"1339";"9,39";"14,43";"Marių";21;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1687";"179";"1866";"13,09";"9,04";"Marių";21;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"1733";"80";"1813";"12,71";"6,06";"Marių";21;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"1316";"43";"1359";"9,53";"5,49";"Marių";21;"LLRA"
5;"Partija Tvarka ir teisingumas";"729";"47";"776";"5,44";"5,33";"Marių";21;"PTT"
8;"Darbo partija";"464";"46";"510";"3,58";"4,69";"Marių";21;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"154";"11";"165";"1,16";"2,14";"Marių";21;"LLS"
12;"Lietuvos žaliųjų partija";"199";"11";"210";"1,47";"1,94";"Marių";21;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"367";"24";"391";"2,74";"1,72";"Marių";21;"LS"
10;"Lietuvos liaudies partija";"143";"5";"148";"1,04";"1,01";"Marių";21;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"76";"5";"81";"0,57";"0,54";"Marių";21;"JL"
9;"„Drąsos kelias“ politinė partija";"40";"6";"46";"0,32";"0,28";"Marių";21;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"2613";"649";"3262";"20,27";"21,66";"Pajūrio";22;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"2243";"244";"2487";"15,46";"21,54";"Pajūrio";22;"LVZS"
1;"Lietuvos socialdemokratų partija";"1564";"238";"1802";"11,20";"14,43";"Pajūrio";22;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"2060";"411";"2471";"15,36";"9,04";"Pajūrio";22;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"1562";"123";"1685";"10,47";"6,06";"Pajūrio";22;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"1175";"47";"1222";"7,59";"5,49";"Pajūrio";22;"LLRA"
5;"Partija Tvarka ir teisingumas";"734";"81";"815";"5,06";"5,33";"Pajūrio";22;"PTT"
8;"Darbo partija";"483";"46";"529";"3,29";"4,69";"Pajūrio";22;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"137";"30";"167";"1,04";"2,14";"Pajūrio";22;"LLS"
12;"Lietuvos žaliųjų partija";"286";"21";"307";"1,91";"1,94";"Pajūrio";22;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"291";"22";"313";"1,95";"1,72";"Pajūrio";22;"LS"
10;"Lietuvos liaudies partija";"173";"17";"190";"1,18";"1,01";"Pajūrio";22;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"74";"7";"81";"0,50";"0,54";"Pajūrio";22;"JL"
9;"„Drąsos kelias“ politinė partija";"42";"7";"49";"0,30";"0,28";"Pajūrio";22;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"3761";"631";"4392";"24,67";"21,66";"Danės";23;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"2501";"232";"2733";"15,35";"21,54";"Danės";23;"LVZS"
1;"Lietuvos socialdemokratų partija";"1725";"198";"1923";"10,80";"14,43";"Danės";23;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"2537";"382";"2919";"16,39";"9,04";"Danės";23;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"1958";"160";"2118";"11,89";"6,06";"Danės";23;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"694";"29";"723";"4,06";"5,49";"Danės";23;"LLRA"
5;"Partija Tvarka ir teisingumas";"641";"86";"727";"4,08";"5,33";"Danės";23;"PTT"
8;"Darbo partija";"384";"46";"430";"2,41";"4,69";"Danės";23;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"240";"31";"271";"1,52";"2,14";"Danės";23;"LLS"
12;"Lietuvos žaliųjų partija";"251";"26";"277";"1,56";"1,94";"Danės";23;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"303";"30";"333";"1,87";"1,72";"Danės";23;"LS"
10;"Lietuvos liaudies partija";"146";"21";"167";"0,94";"1,01";"Danės";23;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"60";"6";"66";"0,37";"0,54";"Danės";23;"JL"
9;"„Drąsos kelias“ politinė partija";"39";"4";"43";"0,24";"0,28";"Danės";23;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"2532";"397";"2929";"16,56";"21,66";"Saulės";24;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"5394";"440";"5834";"32,99";"21,54";"Saulės";24;"LVZS"
1;"Lietuvos socialdemokratų partija";"2607";"243";"2850";"16,11";"14,43";"Saulės";24;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1159";"194";"1353";"7,65";"9,04";"Saulės";24;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"1228";"111";"1339";"7,57";"6,06";"Saulės";24;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"101";"8";"109";"0,62";"5,49";"Saulės";24;"LLRA"
5;"Partija Tvarka ir teisingumas";"713";"98";"811";"4,59";"5,33";"Saulės";24;"PTT"
8;"Darbo partija";"490";"133";"623";"3,52";"4,69";"Saulės";24;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"148";"19";"167";"0,94";"2,14";"Saulės";24;"LLS"
12;"Lietuvos žaliųjų partija";"307";"35";"342";"1,93";"1,94";"Saulės";24;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"238";"26";"264";"1,49";"1,72";"Saulės";24;"LS"
10;"Lietuvos liaudies partija";"189";"20";"209";"1,18";"1,01";"Saulės";24;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"77";"13";"90";"0,51";"0,54";"Saulės";24;"JL"
9;"„Drąsos kelias“ politinė partija";"53";"4";"57";"0,32";"0,28";"Saulės";24;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"2895";"530";"3425";"19,34";"21,66";"Aušros";25;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"5017";"397";"5414";"30,57";"21,54";"Aušros";25;"LVZS"
1;"Lietuvos socialdemokratų partija";"2491";"289";"2780";"15,69";"14,43";"Aušros";25;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1338";"225";"1563";"8,82";"9,04";"Aušros";25;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"1234";"112";"1346";"7,60";"6,06";"Aušros";25;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"71";"3";"74";"0,42";"5,49";"Aušros";25;"LLRA"
5;"Partija Tvarka ir teisingumas";"594";"71";"665";"3,75";"5,33";"Aušros";25;"PTT"
8;"Darbo partija";"427";"75";"502";"2,83";"4,69";"Aušros";25;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"179";"35";"214";"1,21";"2,14";"Aušros";25;"LLS"
12;"Lietuvos žaliųjų partija";"328";"57";"385";"2,17";"1,94";"Aušros";25;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"244";"23";"267";"1,51";"1,72";"Aušros";25;"LS"
10;"Lietuvos liaudies partija";"214";"31";"245";"1,38";"1,01";"Aušros";25;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"72";"9";"81";"0,46";"0,54";"Aušros";25;"JL"
9;"„Drąsos kelias“ politinė partija";"36";"0";"36";"0,20";"0,28";"Aušros";25;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"3999";"644";"4643";"26,07";"21,66";"Nevėžio";26;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"4322";"431";"4753";"26,68";"21,54";"Nevėžio";26;"LVZS"
1;"Lietuvos socialdemokratų partija";"2169";"337";"2506";"14,07";"14,43";"Nevėžio";26;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1108";"187";"1295";"7,27";"9,04";"Nevėžio";26;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"977";"130";"1107";"6,21";"6,06";"Nevėžio";26;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"39";"4";"43";"0,24";"5,49";"Nevėžio";26;"LLRA"
5;"Partija Tvarka ir teisingumas";"640";"77";"717";"4,03";"5,33";"Nevėžio";26;"PTT"
8;"Darbo partija";"470";"95";"565";"3,17";"4,69";"Nevėžio";26;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"229";"55";"284";"1,59";"2,14";"Nevėžio";26;"LLS"
12;"Lietuvos žaliųjų partija";"274";"56";"330";"1,85";"1,94";"Nevėžio";26;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"271";"28";"299";"1,68";"1,72";"Nevėžio";26;"LS"
10;"Lietuvos liaudies partija";"228";"17";"245";"1,38";"1,01";"Nevėžio";26;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"96";"12";"108";"0,61";"0,54";"Nevėžio";26;"JL"
9;"„Drąsos kelias“ politinė partija";"36";"8";"44";"0,25";"0,28";"Nevėžio";26;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"3758";"556";"4314";"22,52";"21,66";"Vakarinė";27;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"5253";"419";"5672";"29,61";"21,54";"Vakarinė";27;"LVZS"
1;"Lietuvos socialdemokratų partija";"2537";"208";"2745";"14,33";"14,43";"Vakarinė";27;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1263";"220";"1483";"7,74";"9,04";"Vakarinė";27;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"1452";"72";"1524";"7,96";"6,06";"Vakarinė";27;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"62";"2";"64";"0,33";"5,49";"Vakarinė";27;"LLRA"
5;"Partija Tvarka ir teisingumas";"512";"40";"552";"2,88";"5,33";"Vakarinė";27;"PTT"
8;"Darbo partija";"523";"47";"570";"2,98";"4,69";"Vakarinė";27;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"216";"30";"246";"1,28";"2,14";"Vakarinė";27;"LLS"
12;"Lietuvos žaliųjų partija";"349";"35";"384";"2,00";"1,94";"Vakarinė";27;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"339";"24";"363";"1,89";"1,72";"Vakarinė";27;"LS"
10;"Lietuvos liaudies partija";"212";"19";"231";"1,21";"1,01";"Vakarinė";27;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"86";"4";"90";"0,47";"0,54";"Vakarinė";27;"JL"
9;"„Drąsos kelias“ politinė partija";"32";"2";"34";"0,18";"0,28";"Vakarinė";27;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"3599";"595";"4194";"22,75";"21,66";"Aukštaitijos";28;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"5122";"607";"5729";"31,08";"21,54";"Aukštaitijos";28;"LVZS"
1;"Lietuvos socialdemokratų partija";"2603";"335";"2938";"15,94";"14,43";"Aukštaitijos";28;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1002";"162";"1164";"6,31";"9,04";"Aukštaitijos";28;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"975";"103";"1078";"5,85";"6,06";"Aukštaitijos";28;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"39";"3";"42";"0,23";"5,49";"Aukštaitijos";28;"LLRA"
5;"Partija Tvarka ir teisingumas";"606";"104";"710";"3,85";"5,33";"Aukštaitijos";28;"PTT"
8;"Darbo partija";"582";"97";"679";"3,68";"4,69";"Aukštaitijos";28;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"184";"36";"220";"1,19";"2,14";"Aukštaitijos";28;"LLS"
12;"Lietuvos žaliųjų partija";"253";"38";"291";"1,58";"1,94";"Aukštaitijos";28;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"248";"22";"270";"1,46";"1,72";"Aukštaitijos";28;"LS"
10;"Lietuvos liaudies partija";"210";"23";"233";"1,26";"1,01";"Aukštaitijos";28;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"92";"9";"101";"0,55";"0,54";"Aukštaitijos";28;"JL"
9;"„Drąsos kelias“ politinė partija";"30";"2";"32";"0,17";"0,28";"Aukštaitijos";28;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"3059";"643";"3702";"20,90";"21,66";"Marijampolės";29;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"4942";"491";"5433";"30,68";"21,54";"Marijampolės";29;"LVZS"
1;"Lietuvos socialdemokratų partija";"3045";"478";"3523";"19,89";"14,43";"Marijampolės";29;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"763";"168";"931";"5,26";"9,04";"Marijampolės";29;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"1141";"170";"1311";"7,40";"6,06";"Marijampolės";29;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"8";"5";"13";"0,07";"5,49";"Marijampolės";29;"LLRA"
5;"Partija Tvarka ir teisingumas";"531";"98";"629";"3,55";"5,33";"Marijampolės";29;"PTT"
8;"Darbo partija";"400";"106";"506";"2,86";"4,69";"Marijampolės";29;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"140";"28";"168";"0,95";"2,14";"Marijampolės";29;"LLS"
12;"Lietuvos žaliųjų partija";"291";"36";"327";"1,85";"1,94";"Marijampolės";29;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"163";"31";"194";"1,10";"1,72";"Marijampolės";29;"LS"
10;"Lietuvos liaudies partija";"130";"23";"153";"0,86";"1,01";"Marijampolės";29;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"65";"9";"74";"0,42";"0,54";"Marijampolės";29;"JL"
9;"„Drąsos kelias“ politinė partija";"40";"15";"55";"0,31";"0,28";"Marijampolės";29;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"3055";"467";"3522";"20,30";"21,66";"Alytaus";30;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"3878";"256";"4134";"23,83";"21,54";"Alytaus";30;"LVZS"
1;"Lietuvos socialdemokratų partija";"2556";"241";"2797";"16,12";"14,43";"Alytaus";30;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1040";"194";"1234";"7,11";"9,04";"Alytaus";30;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"1533";"184";"1717";"9,90";"6,06";"Alytaus";30;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"36";"5";"41";"0,24";"5,49";"Alytaus";30;"LLRA"
5;"Partija Tvarka ir teisingumas";"728";"81";"809";"4,66";"5,33";"Alytaus";30;"PTT"
8;"Darbo partija";"773";"133";"906";"5,22";"4,69";"Alytaus";30;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"177";"31";"208";"1,20";"2,14";"Alytaus";30;"LLS"
12;"Lietuvos žaliųjų partija";"442";"31";"473";"2,73";"1,94";"Alytaus";30;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"294";"24";"318";"1,83";"1,72";"Alytaus";30;"LS"
10;"Lietuvos liaudies partija";"120";"20";"140";"0,81";"1,01";"Alytaus";30;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"85";"9";"94";"0,54";"0,54";"Alytaus";30;"JL"
9;"„Drąsos kelias“ politinė partija";"43";"8";"51";"0,29";"0,28";"Alytaus";30;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"2920";"595";"3515";"18,63";"21,66";"Gargždų";31;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"3838";"482";"4320";"22,90";"21,54";"Gargždų";31;"LVZS"
1;"Lietuvos socialdemokratų partija";"1633";"287";"1920";"10,18";"14,43";"Gargždų";31;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1873";"270";"2143";"11,36";"9,04";"Gargždų";31;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"1402";"135";"1537";"8,15";"6,06";"Gargždų";31;"PUTKA"
